Issues,Category
"The portal  is'nt working properly  , as it is recording ..but when i am trying to upload , it is not able to upload properly.",platform issues
"only mic issues, battries draining too fast.",Facilities
Mic Battery issues,Facilities
Because of page wait in instructor platform it took tens minutes to submit and download the recording of lecture because of page wait and unresponsiveness and lecture started late because I had lectures back to back.,session timing issues
"In section 14 the frequency of the mic is high , the students were not able to hear my voice clearly.",Facilities
In hall 1 mic is not working.,Facilities
Mic Batterys are drained and mic not worked properly,Facilities
Marker not available ,Facilities
extenstion board for students and wifi issuewifi ,Facilities
Instructor portal taking time to submit the recording and downloading.,Facilities
The mic was not working properly.  ,Facilities
the audio was downloaded but report was not generated.,platform issues
Network issue in section 10.,Facilities
Internet connectivity. ,Facilities
"Mic battery got finished during starting of lecture , students were less so i proceeded without mic ",Facilities
"In Section 2, during the ""Intro to Backend"" topic, the success coach came and discussed documents with the students. This session was recorded, and it is currently showing as a red flag in the report.",Tech QA report issue
Mic was not working,Facilities
"Mic,Internet and Ac issues ",Facilities
For the first classes try to make sure that screen and sound system are powered on,Facilities
"Mic's Batteries (replaced within 5 min.). Today, there is no internet connection (wifi), I was using my hotspot but I faced these issues as some slides were not loading.",Facilities
Mic issue in the middle of the session,Facilities
"mic battery got down in starting 10 minutes , i continued without mic for 5 minutes, in last 10 minutes again mic battery low,again continued without mic , i saw only one new battery was replaced not both",Facilities
In the middle of the session so many assigned students were sent to class it kind of broke the flow,other on ground issues
I had multiple issues with mic and screen but it were resolved quickly.,Facilities
"out of 48, only 24 students were able to attempt the quiz due to learning portal access. ",Student portal
"Students not responding properly, talking about their hostel problems when i asked for queries.",other on ground issues
"Simple Vocabulary & Jargon in Evaluation Rubrics, not accurate. Questioning: i have asked multiple questions but i noted only few.",Tech QA report issue
The students are very loud and not attentive in class,other on ground issues
"mic not working
",Facilities
mic not working,Facilities
yes. mic is not working.,Facilities
"Had issues with mic so the transcript of the sessions have not generated well. One of the Behavioural Red Flags has raised a concern that I was asking students' mobile numbers when in reality, I was only giving them the example of a database storing their data like email, password, mobile number and name when they login/signup to a website. ",Tech QA report issue
"As per the report, the words or phrases in repetitive, but that is repetitive in the video lecture and in PPT",Tech QA report issue
The mic problems we are facing.,Facilities
in the middle of the class 10 students came and broke my flow ,other on ground issues
Students should be in the class at time and also students are not able to answer the questions if we ask from previous sessions,other on ground issues
"Mic is not working, report is still giving concerns that I am not interacting with the students and not asking questions",Facilities
Mic issue,Facilities
mic issue  \,Facilities
"In morning, network issue was there so all classes were rescheduled.",Facilities
"Session started and ended late, as student went for Uniform Measurements. ",other on ground issues
"The network was not working properly, and screen sharing stopped 2 to 3 times, but I still delivered the class effectively.",Facilities
"We continuously had a network issue , and had a discussion regarding the query with the BOA also , they mentioned that , they are trying to resolve the issue ",Facilities
